forecast_date,target,target_end_date,location,type,quantile,value
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.01,6342.592749304682
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.025,6426.28778889034
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.05,6469.086388678462
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.1,6518.406679862867
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.15,6551.830348268829
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.2,6578.188850995481
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.25,6601.014770882479
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.3,6621.3950564958695
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.35,6640.280787830945
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.4,6658.215439170729
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.45,6675.470747656733
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.5,6692.590187571981
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.55,6713.160733313472
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.6,6733.8945373544975
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.65,6755.444632893201
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.7,6778.137536528654
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.75,6802.626281458999
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.8,6830.053675780986
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.85,6861.725785890899
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.9,6901.8873275766655
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.95,6961.1500903081005
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.975,7012.576454661825
2021-01-18,1 wk ahead cum death,2021-01-23,01,quantile,0.99,7113.143567175776
2021-01-18,1 wk ahead cum death,2021-01-23,01,point,NA,6692.590187571981
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.01,223.59274930468234
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.025,307.28778889034083
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.05,350.0863886784616
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.1,399.4066798628676
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.15,432.8303482688285
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.2,459.1888509954807
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.25,482.0147708824785
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.3,502.39505649586937
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.35,521.2807878309449
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.4,539.2154391707288
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.45,556.4707476567331
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.5,573.5901875719815
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.55,594.1607333134714
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.6,614.8945373544971
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.65,636.4446328932008
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.7,659.137536528654
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.75,683.6262814589992
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.8,711.0536757809857
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.85,742.7257858908988
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.9,782.887327576665
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.95,842.1500903081003
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.975,893.5764546618252
2021-01-18,1 wk ahead inc death,2021-01-23,01,quantile,0.99,994.1435671757761
2021-01-18,1 wk ahead inc death,2021-01-23,01,point,NA,573.5901875719815
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.01,6508.668001994868
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.025,6695.3276856583725
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.05,6790.778660259029
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.1,6900.774545275021
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.15,6975.31721115363
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.2,7034.1028907489535
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.25,7085.010077202637
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.3,7130.462922250568
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.35,7172.582558661651
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.4,7212.581062303831
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.45,7251.064471111079
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.5,7289.244860951341
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.55,7337.325931551579
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.6,7385.788597950231
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.65,7436.159243340955
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.7,7489.201059320581
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.75,7546.440429082769
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.8,7610.548523216418
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.85,7684.578108108847
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.9,7778.450674518835
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.95,7916.969949343327
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.975,8037.172625843919
2021-01-18,2 wk ahead cum death,2021-01-30,01,quantile,0.99,8272.235637667301
2021-01-18,2 wk ahead cum death,2021-01-30,01,point,NA,7289.244860951341
2021-01-18,2 wk ahead inc death,2021-01-30,01,quantile,0.01,166.07525269018578
2021-01-18,2 wk ahead inc death,2021-01-30,01,quantile,0.025,269.0398967680318
